id,date,user,pc,to,cc,bcc,from,activity,size,attachments,content
{A8Z4-G1RP17PX-9187CYDV},01/04/2010 09:59:12,CRP1915,PC-9070,Carolyn.Rina.Pena@dtaa.com,,,Lucius.Noah.Kemp@dtaa.com,View,21887,,"It's often hard to tell if the game's backgrounds are composed of streaming full motion video or just some really fancy math-powered 2D bitmaps."" At the end of each level, players receive bonuses for defeated enemies, lives remaining, and the energy level of the player's craft."
{V5K6-M9MY26EO-0756IENH},01/03/2010 10:01:57,BOR2387,PC-2983,Dana_Wilkins@msn.com;Fuentes-Elijah@comcast.net,,,BOR14@verizon.net,Send,37102,,"The score closes, at Whale's suggestion, with a powerful dissonant chord, intended to convey the idea that the on-screen explosion was so powerful that the theater where the film was being screened was affected by it. In his rooms, Pretorius shows Henry several homunculi he has created, including a miniature queen, king, archbishop, devil, ballerina and mermaid. Elsa Lanchester is credited for Mary Shelley, but in a nod to the earlier film, the Monster's bride is credited only as ""?"" just as Boris Karloff had been in the opening credits of Frankenstein."
{P7F9-G5UX40IJ-1018XRLN},01/04/2010 09:22:04,WVD0570,PC-7522,Whitney.Vivien.Dejesus@dtaa.com,,,DEC83@harris.com,View,24132,,"Born in 1902, the real-life Lad was an unregistered collie of unknown lineage originally owned by Terhune's father. One spring, a relative of the Mistress brings her invalid toddler, Baby, to the Place in the hope that the weather will help her grow stronger. With his teeth dulled by old age, Lad is unable to really fight back."
{W1P3-F4KH73GO-4247PLUQ},01/02/2010 13:36:59,JWM0484,PC-3083,Jordan.Winifred.Mckenzie@dtaa.com,,,Aiko.Deborah.Mosley@dtaa.com,View,39482,,"While he calls the album ""great traditional rock and folk album at times"", he states that ""once you get past the handful of masterful and lovely performances... the rest of the record comes off at times as dull, and forced."" During 1999, Warner Brothers was looking to help repay a $16 billion debt acquired during the recent merger of parent company Warner Communications with Time Inc.. As of 2007, it has sold over 114,000 copies."
{X0L6-J8JS75DW-1673PFIC},01/04/2010 11:03:11,HLZ2414,PC-3770,Hall.Leonard.Zimmerman@dtaa.com,,,Jolene.Jordan.Lane@dtaa.com,View,33148,,"from apes. {Note_label|C|III|none} See, for example, WILLA volume 4, Charlotte Perkins Gilman and the Feminization of Education by Deborah M. De Simone: ""Gilman shared many basic educational ideas with the generation of thinkers who matured during the period of ""intellectual chaos"" caused by Darwin's Origin of the Species. {Note_label|A|I|none} Darwin was eminent as a naturalist, geologist, biologist, and author; after working as a physician's assistant and two years as a medical student was educated as a clergyman; and was trained in taxidermy. Arriving in Australia in January 1942, Jeffrey briefly took charge the following month of RAAF Bankstown, New South Wales. At the end of the month, Jeffrey was posted back to Australia to serve in the South West Pacific."
{J9Q5-P4FD02MT-7604PURD},01/04/2010 10:23:07,FFP3169,PC-7524,Faith.Fleur.Parrish@dtaa.com,,,BEG323@harris.com,View,26281,,"The recording of Mermaid Avenue began on December 12, 1997, and was the topic of BBC's Man in the Sand documentary film. Influenced by The Byrds and Fairport Convention, the band considered Sky Blue Sky to be less experimental than previous releases. An election for a seat in the United States House of Representatives took place in California's 12th congressional district on November 5, 1946, the date set by law for the elections for the 80th United States Congress. These efforts paid off; 26 of the 30 newspapers serving the district endorsed Nixon."
{N5K3-H5XX59WH-7811OZCG},01/04/2010 10:06:12,PJF2579,PC-4351,Pearl.Jennifer.Frederick@dtaa.com,,,Destiny.Noel.Baxter@dtaa.com,View,45775,,"As it nears Blythe, the highway makes a sharp turn east onto 32nd Avenue before turning north on Rannels Boulevard. Around the 1930s, the road from Escondido to Ramona was a gravel road, and the portion from Julian to U.S. Route 99 (US 99), which is currently designated as SR 86, was a dirt road. In the Imperial and Riverside County portion from Brawley to Blythe, the road goes through several washes. Before the designation of SR 78, a road known as the Brawley-Westmorland-Julian-Oceanside Highway (connecting Oceanside, Escondido, Ramona, Julian, Westmorland, and Brawley) existed during the early twentieth century."
{U6N2-E2SS74QJ-2099YISX},01/03/2010 17:35:41,TGH3351,PC-0681,Tanner.Griffith.Holden@dtaa.com,,,BKN63@harris.com,View,40045,,"With Watchmen, Alan Moore's intention was to create four or five ""radically opposing ways"" to perceive the world and to give readers of the story the privilege of determining which one was most morally comprehensible. Rorschach tells him that Manhattan will have to kill him to stop him from exposing Veidt and his actions, and Manhattan responds by vaporizing him."
{O3V2-O6MN94OJ-8885CCPG},01/04/2010 13:08:12,DWF2268,PC-7468,Finn.Francis.Pitts@dtaa.com,Gillian.Nelle.Holland@dtaa.com,,Dale.Wang.Fitzgerald@dtaa.com,Send,21594,,"In first-class matches, Trott posted 507 runs (at 39.00 average) and claimed 25 wickets (at 17.44 average) for the summer, and hit a double century in a club match against Melbourne. Trott's friend Ben Wardill, the secretary of the Melbourne Cricket Club, visited in November 1899 but Trott did not recognise him. In reply, England made 292 with Trott taking two wickets. He had a successful career with Middlesex and appeared for England in two Test matches against South Africa. His chances for inclusion in the Australian squad for the forthcoming tour of England were enhanced when a number of leading players made themselves unavailable."
{Z5G2-H7UL22GL-6740NPXY},01/04/2010 09:11:49,ABJ0281,PC-7738,Sydney.Willow.Olson@dtaa.com,Gwendolyn.Rebecca.Yates@dtaa.com,,Anjolie.Brynne.Jennings@dtaa.com,Send,16822,,"Director David Fincher followed the immensely successful neo-noir Se7en (1995) with a film that developed into a cult favorite after its original, disappointing release: Fight Club (1999) is a sui generis mix of noir aesthetic, perverse comedy, speculative content, and satiric intention. An ultra-low-budget Columbia Pictures production, it may qualify as the first intentional example of what is now called a neo-noir film; it was likely a source of inspiration for both Melville's Le Samourai and Scorsese's Taxi Driver."
