employee_name,user_id,email,role,projects,business_unit,functional_unit,department,team,supervisor,start_date,end_date
Susan Clare Day,SCD3192,Susan.Clare.Day@dtaa.com,Mathematician,,1,4 - ResearchAndEngineering_Government_Foreign,2 - Research,5 - Lab,Geoffrey Rahim Griffin,2009-12-01 00:00:00,2011-06-01
Gail Orla Graves,GOG3939,Gail.Orla.Graves@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,14 - AssemblyDept,Keegan Noah Riggs,2009-12-01 00:00:00,2011-06-01
Tashya Taylor Reese,TTR0045,Tashya.Taylor.Reese@dtaa.com,ITAdmin,,1,1 - Adminstration,5 - Security,2 - ElectronicSecurity,Carl Garrett Morgan,2009-12-01 00:00:00,2011-06-01
Caldwell Baxter Calderon,CBC3175,Caldwell.Baxter.Calderon@dtaa.com,HardwareEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,24 - SystemsEngineering,Malcolm Elton Battle,2009-12-01 00:00:00,2011-06-01
Geoffrey Hu Morgan,GHM3953,Geoffrey.Hu.Morgan@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,14 - AssemblyDept,Keegan Noah Riggs,2009-12-01 00:00:00,2011-06-01
Brody Vernon Bonner,BVB1673,Brody.Vernon.Bonner@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,2 - RegionalSales,Cheryl Brianna Aguirre,2009-12-01 00:00:00,2010-02-01
Keefe John Clemons,KJC1419,Keefe.John.Clemons@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,8 - ElectricalEngineering,Sarah Cleo Hubbard,2009-12-01 00:00:00,2011-06-01
Justina Lois Mcdowell,JLM3847,Justina.Lois.Mcdowell@dtaa.com,NursePractitioner,,1,1 - Adminstration,4 - Safety,7 - Medical,Lev Myles Harrington,2009-12-01 00:00:00,2010-08-01
Lars Ferris Clark,LFC2015,Lars.Ferris.Clark@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,16 - TestAndEvalualtion,Elijah Valentine Fuentes,2009-12-01 00:00:00,2011-06-01
Peter Nicholas Livingston,PNL0018,Peter.Nicholas.Livingston@dtaa.com,Director,,1,1 - Adminstration,5 - Security,,Tallulah Leslie Keith,2009-12-01 00:00:00,2011-06-01
Elaine Leilani Conley,ELC1833,Elaine.Leilani.Conley@dtaa.com,MechanicalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,12 - MechanicalEngineering,Audra Serina Hunt,2009-12-01 00:00:00,2011-06-01
Hector Quamar Fulton,HQF1912,Hector.Quamar.Fulton@dtaa.com,Scientist,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,3 - Lab,Quincy Joshua Olsen,2009-12-01 00:00:00,2011-06-01
Demetrius Amir Reid,DAR0709,Demetrius.Amir.Reid@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,6 - TestAndEvalualtion,Dana Christen Wilkins,2009-12-01 00:00:00,2011-06-01
Beck Zachary Cain,BZC3956,Beck.Zachary.Cain@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,14 - AssemblyDept,Keegan Noah Riggs,2009-12-01 00:00:00,2010-12-01
Marsden Shad Waller,MSW0973,Marsden.Shad.Waller@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,1 - RegionalFieldService,Sydney Medge Ellis,2009-12-01 00:00:00,2011-06-01
Elizabeth Alexandra Haynes,EAH2882,Elizabeth.Alexandra.Haynes@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,4 - RegionalSales,Heidi Cara Schmidt,2009-12-01 00:00:00,2011-06-01
Kenneth Carl Cervantes,KCC3658,Kenneth.Carl.Cervantes@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,12 - AssemblyDept,Brynne Camille Whitfield,2009-12-01 00:00:00,2011-06-01
Blaze Darius Bowen,BDB2163,Blaze.Darius.Bowen@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,5 - Stockroom,Sade Kendall Guthrie,2009-12-01 00:00:00,2011-06-01
Flynn Melvin Reid,FMR0920,Flynn.Melvin.Reid@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,1 - RegionalSales,Florence Giselle Neal,2009-12-01 00:00:00,2010-10-01
Kiara Olympia Maxwell,KOM1306,Kiara.Olympia.Maxwell@dtaa.com,SystemsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,10 - SystemsEngineering,Zachery Hayes Fuller,2009-12-01 00:00:00,2011-06-01
Megan Xena Garza,MXG0821,Megan.Xena.Garza@dtaa.com,SystemsEngineer,Project 26,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,5 - SystemsEngineering,Jerry Reece Potts,2009-12-01 00:00:00,2011-06-01
Lara Xerxes Salas,LXS0332,Lara.Xerxes.Salas@dtaa.com,AdministrativeAssistant,,1,6 - Manufacturing_Government,3 - Assembly,,Stuart Zeph Barker,2009-12-01 00:00:00,2011-06-01
Hedda Indira Savage,HIS1706,Hedda.Indira.Savage@dtaa.com,Manager,Project 94,1,1 - Adminstration,5 - Security,6 - ElectronicSecurity,Peter Nicholas Livingston,2009-12-01 00:00:00,2011-06-01
Lael Aurora Nash,LAN1329,Lael.Aurora.Nash@dtaa.com,TestEngineer,Project 68,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,11 - TestAndEvalualtion,Hakeem Levi Mcgee,2009-12-01 00:00:00,2010-06-01
Kiona Ivy Clemons,KIC2314,Kiona.Ivy.Clemons@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,Adele Deirdre Guthrie,2009-12-01 00:00:00,2011-06-01
Troy Hayes Massey,THM1021,Troy.Hayes.Massey@dtaa.com,Manager,Project 6,1,8 - SalesAndMarketing_Commercial,2 - Sales,2 - RegionalSales,Nathaniel Paul Klein,2009-12-01 00:00:00,2011-06-01
Beau Slade Vincent,BSV1499,Beau.Slade.Vincent@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,3 - Stockroom,Cooper Ali Stuart,2009-12-01 00:00:00,2011-06-01
Guy Wyatt Mullins,GWM3260,Guy.Wyatt.Mullins@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,9 - Stockroom,Quincy Guy Shannon,2009-12-01 00:00:00,2011-06-01
Kasimir Justin Roman,KJR1377,Kasimir.Justin.Roman@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,6 - EmbeddedSoftware,Leah Kerry Stephenson,2009-12-01 00:00:00,2011-06-01
Kirestin Cora Mathis,KCM1858,Kirestin.Cora.Mathis@dtaa.com,MaterialsEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,14 - MaterialsEngineering,Ralph Aladdin Bates,2009-12-01 00:00:00,2011-06-01
Colt Malcolm Shepherd,CMS2897,Colt.Malcolm.Shepherd@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,4 - RegionalSales,Heidi Cara Schmidt,2009-12-01 00:00:00,2011-06-01
Dylan Sean Drake,DSD1293,Dylan.Sean.Drake@dtaa.com,ElectricalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,8 - ElectricalEngineering,Megan Kalia Dawson,2009-12-01 00:00:00,2011-06-01
Omar Levi Hawkins,OLH3452,Omar.Levi.Hawkins@dtaa.com,Technician,Project 71,1,9 - SalesAndMarketing_Government,3 - FieldService,5 - RegionalFieldService,Hedy Kristen Mcfadden,2009-12-01 00:00:00,2011-06-01
Rogan Oscar Bass,ROB2744,Rogan.Oscar.Bass@dtaa.com,HardwareEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,20 - SystemsEngineering,Aline Linda Bowen,2009-12-01 00:00:00,2011-06-01
Gisela Stacy Stephens,GSS0841,Gisela.Stacy.Stephens@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,Hammett Zeus Hodge,2009-12-01 00:00:00,2011-06-01
Ursa Kelsey Cleveland,UKC1192,Ursa.Kelsey.Cleveland@dtaa.com,TestEngineer,Project 29,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,11 - TestAndEvalualtion,Dexter Ethan Farley,2009-12-01 00:00:00,2011-06-01
Yardley Abel Simmons,YAS2508,Yardley.Abel.Simmons@dtaa.com,MaterialsEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,19 - MaterialsEngineering,Mercedes Josephine Ayala,2009-12-01 00:00:00,2011-06-01
Stella Angela Patterson,SAP2173,Stella.Angela.Patterson@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,6 - AssemblyDept,Zelda Idona Ross,2009-12-01 00:00:00,2011-06-01
Phelan Harding Anderson,PHA0726,Phelan.Harding.Anderson@dtaa.com,SoftwareQualityEngineer,Project 53,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,1 - SQA,Rose Angela Salas,2009-12-01 00:00:00,2011-06-01
Wilma Allegra Franco,WAF3438,Wilma.Allegra.Franco@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,5 - RegionalSales,Charles Ulric Lynn,2009-12-01 00:00:00,2011-06-01
Hiram Brett Compton,HBC1540,Hiram.Brett.Compton@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,3 - Stockroom,Brianna Ann Webster,2009-12-01 00:00:00,2011-06-01
Judah Odysseus Nguyen,JON0788,Judah.Odysseus.Nguyen@dtaa.com,MechanicalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,2 - MechanicalEngineering,Vaughan Dustin Bender,2009-12-01 00:00:00,2010-10-01
Griffin Kennan Alvarado,GKA3690,Griffin.Kennan.Alvarado@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,12 - AssemblyDept,Melissa Laura Cardenas,2009-12-01 00:00:00,2011-06-01
Edward Blaine Shepherd,EBS2201,Edward.Blaine.Shepherd@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,6 - AssemblyDept,Zelda Idona Ross,2009-12-01 00:00:00,2011-06-01
Allegra Lana Baldwin,ALB1254,Allegra.Lana.Baldwin@dtaa.com,WebDeveloper,,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,7 - WebSoftware,Farrah Molly Caldwell,2009-12-01 00:00:00,2011-03-01
Callum Ulysses Manning,CUM2335,Callum.Ulysses.Manning@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,Adele Deirdre Guthrie,2009-12-01 00:00:00,2011-06-01
Steel Philip Merrill,SPM1684,Steel.Philip.Merrill@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,2 - RegionalFieldService,Haley Madeline Thomas,2009-12-01 00:00:00,2011-06-01
Honorato Dalton Larson,HDL2297,Honorato.Dalton.Larson@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,3 - RegionalFieldService,Eric Macaulay Sanchez,2009-12-01 00:00:00,2011-06-01
Evelyn Fiona Cleveland,EFC1153,Evelyn.Fiona.Cleveland@dtaa.com,ElectricalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,8 - ElectricalEngineering,Colin Ignatius Hines,2009-12-01 00:00:00,2011-06-01
